,Date,Entry_Price,Exit_Price,Exit_date,Ret,Shares,Signal,Ticker
73584,2007-05-09,221.5,263.15,2007-05-23,0.18803611738148973,5486.026723860628,Buy,CANBK
325163,2007-05-09,562.35,659.65,2007-05-23,0.17302391748910817,2160.851639255142,Buy,TATASTEEL
151160,2007-05-09,92.15,100.2,2007-05-23,0.0873575691806836,13186.70558149896,Buy,IDBI
359866,2007-05-09,550.45,534.95,2007-05-23,0.02897467052995606,2207.5663899266583,Sell,WIPRO
364070,2007-05-09,408.95,407.85,2007-05-23,0.0026970700012258764,2971.4021746793724,Sell,WOCKPHARMA
60727,2007-05-09,466.15,483.25,2007-05-23,-0.03538541127780659,2606.789486935813,Sell,BIOCON
214534,2007-05-09,802.3,815.2,2007-05-23,-0.015824337585868653,1514.5892052039503,Sell,MARUTI
257079,2007-05-09,55.85,56.35,2007-05-23,-0.008873114463176623,21757.47393617062,Sell,PTC
7566,2007-05-09,221.8,243.4,2007-05-23,-0.08874281018898933,5478.606489337823,Sell,ADANIENT
246932,2007-05-09,44.9,51.4,2007-05-23,-0.1264591439688716,27063.583949557444,Sell,PETRONET
50114,2007-05-09,963.4,1029.35,2007-05-23,-0.0640695584592218,1261.3192021332045,Sell,BEML
233587,2007-05-09,154.2,155.6,2007-05-23,-0.00899742930591263,7880.382096855573,Sell,NTPC
111462,2007-05-09,691.55,655.2,2007-05-23,0.05547924297924278,1757.1468720051034,Sell,DRREDDY
264390,2007-05-23,965.75,977.55,2007-06-06,0.012218483044265982,1268.604132192183,Buy,RELCAPITAL
240344,2007-05-23,236.4,229.1,2007-06-06,-0.03087986463620984,5182.5483953663315,Buy,ORIENTBANK
116159,2007-05-23,275.55,350.65,2007-06-06,0.27254581745599693,4446.214627706771,Buy,EICHERMOT
73594,2007-05-23,263.15,242.85,2007-06-06,-0.07714231426942797,4655.726546321873,Buy,CANBK
161418,2007-05-23,46.9,47.65,2007-06-06,0.015991471215351716,26122.695962997885,Buy,IFCI
125756,2007-05-23,473.85,491.05,2007-06-06,0.03629840666877704,2585.5322162384737,Buy,GMRINFRA
151170,2007-05-23,100.2,100.8,2007-06-06,0.0059880239520957446,12227.09022619362,Buy,IDBI
156437,2007-05-23,115.1,114.9,2007-06-06,-0.0017376194613378804,10644.26099621721,Buy,IDFC
81190,2007-05-23,623.3,591.2,2007-06-06,-0.0515000802181933,1965.593519436228,Buy,CENTURYTEX
91894,2007-05-23,2030.5,2094.55,2007-06-06,0.03154395469096283,603.3757402928347,Buy,CONCOR
211182,2007-05-23,708.5,705.55,2007-06-06,0.004181135284529791,1729.2229226035297,Sell,LUPIN
303000,2007-05-23,1361.7,1371.9,2007-06-06,-0.0074349442379182396,899.7241981821259,Sell,SUNTV
328247,2007-05-23,1233.4,1200.35,2007-06-06,0.02753363602282688,993.3147727133133,Sell,TCS
318821,2007-05-23,317.2,330.75,2007-06-06,-0.04096749811035527,3862.40365909395,Sell,TATAELXSI
60737,2007-05-23,483.25,454.45,2007-06-06,0.06337330839476296,2535.2394012718073,Sell,BIOCON
111472,2007-05-23,655.2,649.5,2007-06-06,0.00877598152424941,1869.8938349581817,Sell,DRREDDY
180170,2007-05-23,721.6,783.9,2007-06-06,-0.07947442275800476,1697.8304332935154,Sell,JETAIRWAYS
233597,2007-05-23,155.6,155.75,2007-06-06,-0.0009630818619582593,7873.743191931882,Sell,NTPC
359876,2007-05-23,534.95,532.25,2007-06-06,0.005072804133396058,2290.2223397786724,Sell,WIPRO
257089,2007-05-23,56.35,60.75,2007-06-06,-0.07242798353909463,21741.871174172153,Sell,PTC
228394,2007-06-06,561.7,522.15,2007-06-20,-0.07041125155777117,2167.0042531720837,Buy,NIITTECH
257099,2007-06-06,60.75,64.95,2007-06-20,0.06913580246913575,20036.317514514558,Buy,PTC
116169,2007-06-06,350.65,349.65,2007-06-20,-0.002851846570654515,3471.2855810830156,Buy,EICHERMOT
335452,2007-06-06,67.35,65.8,2007-06-20,-0.023014105419450592,18072.847646722486,Buy,TORNTPOWER
